State,State Abbreviations,Rank,Score,Percentage of dog owners who broke up with a significant other who didn't like their dog,Percentage of dog owners who moved from an apartment to a house so their dog would have a yard
Colorado,CO,1,100.00,8.50%,19.50%
Virginia,VA,2,94.41,9.50%,16.50%
Georgia,GA,3,92.45,9.50%,18.00%
Alaska,AK,4,91.99,13.50%,16.00%
Nevada,NV,5,87.92,9.50%,20.00%
Texas,TX,6,81.42,10.00%,16.50%
Arkansas,AR,7,80.97,8.00%,15.00%
Washington,WA,7,80.97,7.00%,17.50%
Delaware,DE,9,71.15,7.50%,16.50%
Oregon,OR,10,70.69,8.00%,12.50%
Alabama,AL,11,70.24,10.50%,16.00%
Rhode Island,RI,12,68.43,8.00%,13.00%
California,CA,13,66.31,10.00%,15.00%
Massachusetts,MA,14,65.41,9.00%,15.50%
New York,NY,15,62.39,8.00%,8.50%
Maryland,MD,16,61.18,7.00%,16.00%
Illinois,IL,17,59.82,7.00%,17.00%
Wisconsin,WI,17,59.82,10.50%,14.50%
New Jersey,NJ,19,59.21,5.50%,16.00%
New Mexico,NM,20,54.83,7.50%,17.00%
West Virginia,WV,21,53.47,5.50%,15.00%
Minnesota,MN,22,51.21,8.00%,15.00%
New Hampshire,NH,23,48.19,5.00%,12.50%
Utah,UT,24,44.86,5.50%,13.00%
Louisiana,LA,25,43.50,11.00%,11.50%
North Dakota,ND,26,43.20,6.00%,16.50%
Mississippi,MS,27,42.45,7.50%,14.50%
Arizona,AZ,28,40.03,6.00%,14.50%
Vermont,VT,29,38.07,6.00%,12.50%
Connecticut,CT,30,34.74,6.50%,9.50%
North Carolina,NC,31,32.78,8.50%,12.50%
Ohio,OH,32,32.48,3.00%,12.00%
Idaho,ID,33,32.33,7.50%,14.00%
Indiana,IN,34,32.02,7.00%,11.50%
South Dakota,SD,35,31.27,5.00%,16.50%
Kentucky,KY,36,29.46,5.00%,12.00%
Tennessee,TN,37,28.85,5.50%,12.50%
Kansas,KS,38,25.68,5.00%,19.00%
Wyoming,WY,39,25.53,5.50%,8.00%
Florida,FL,40,22.05,5.00%,13.00%
South Carolina,SC,41,19.49,5.50%,14.50%
Oklahoma,OK,42,16.92,5.00%,17.00%
Hawaii,HI,43,13.60,3.50%,12.00%
Iowa,IA,43,13.60,3.00%,9.50%
Nebraska,NE,45,10.12,5.00%,11.00%
Michigan,MI,46,9.06,3.50%,6.50%
Missouri,MO,47,8.91,5.50%,10.50%
Maine,ME,48,1.96,3.00%,11.00%
Montana,MT,49,1.06,3.50%,15.00%
Pennsylvania,PA,50,0.00,3.50%,9.00%
