Year,Rank,Breed
2024,1,French Bulldog
2024,2,Labrador Retriever
2024,3,Golden Retriever
2024,4,German Shepherd Dog
2024,5,Poodle
2024,6,Dachshund
2024,7,Beagle
2024,8,Rottweiler
2024,9,Bulldog
2024,10,German Shorthaired Pointer
2023,1,French Bulldog
2023,2,Labrador Retriever
2023,3,Golden Retriever
2023,4,German Shepherd Dog
2023,5,Poodle
2023,6,Dachshund
2023,7,Bulldog
2023,8,Beagle
2023,9,Rottweiler
2023,10,German Shorthaired Pointer
2022,1,French Bulldogs
2022,2,Labrador Retrievers
2022,3,Golden Retrievers
2022,4,German Shepherd Dogs
2022,5,Poodles
2022,6,Bulldogs
2022,7,Rottweilers
2022,8,Beagles
2022,9,Dachshunds
2022,10,German Shorthaired Pointers
2021,1,Retrievers (Labrador)
2021,2,French Bulldogs
2021,3,Retrievers (Golden)
2021,4,German Shepherd Dogs
2021,5,Poodles
2021,6,Bulldogs
2021,7,Beagles
2021,8,Rottweilers
2021,9,Pointers (German Shorthaired)
2021,10,Dachshunds
2020,1,Retrievers (Labrador)
2020,2,French Bulldogs
2020,3,German Shepherd Dogs
2020,4,Retrievers (Golden)
2020,5,Bulldogs
2020,6,Poodles
2020,7,Beagles
2020,8,Rottweilers
2020,9,Pointers (German Shorthaired)
2020,10,Dachshunds
2019,1,Retrievers (Labrador)
2019,2,German Shepherd Dogs
2019,3,Retrievers (Golden)
2019,4,French Bulldogs
2019,5,Bulldogs
2019,6,Poodles
2019,7,Beagles
2019,8,Rottweilers
2019,9,Pointers (German Shorthaired)
2019,10,Pembroke Welsh Corgis
2018,1,Retrievers (Labrador)
2018,2,German Shepherd Dogs
2018,3,Retrievers (Golden)
2018,4,French Bulldogs
2018,5,Bulldogs
2018,6,Beagles
2018,7,Poodles
2018,8,Rottweilers
2018,9,Pointers (German Shorthaired)
2018,10,Yorkshire Terriers
2017,1,Retrievers (Labrador)
2017,2,German Shepherd Dogs
2017,3,Retrievers (Golden)
2017,4,French Bulldogs
2017,5,Bulldogs
2017,6,Beagles
2017,7,Poodles
2017,8,Rottweilers
2017,9,Yorkshire Terriers
2017,10,Pointers (German Shorthaired)
2016,1,Retrievers (Labrador)
2016,2,German Shepherd Dogs
2016,3,Retrievers (Golden)
2016,4,Bulldogs
2016,5,Beagles
2016,6,French Bulldogs
2016,7,Poodles
2016,8,Rottweilers
2016,9,Yorkshire Terriers
2016,10,Boxers
2015,1,Retrievers (Labrador)
2015,2,German Shepherd Dogs
2015,3,Retrievers (Golden)
2015,4,Bulldogs
2015,5,Beagles
2015,6,French Bulldogs
2015,7,Yorkshire Terriers
2015,8,Poodles
2015,9,Rottweilers
2015,10,Boxers
